,belief_idx,state_idx,help_config_idx_local,value_diff
0,0,0,0,0.9644155531707858
1,0,0,1,3.061513251143415
2,0,0,2,3.301865739581317
3,0,0,3,2.4301981570970077
4,0,0,4,0.9431090296725332
5,0,0,5,0.05739071068196988
6,0,1,0,1.9827409033828707
7,0,1,1,4.412975334593908
8,0,1,2,0.7770874013339737
9,0,1,3,3.0781911383205083
10,0,1,4,1.8796084534186301
11,0,1,5,1.023318178779376
12,0,2,0,0.8611612094313172
13,0,2,1,0.872152862517517
14,0,2,2,-0.2503816658445376
15,0,2,3,0.8383074765899077
16,0,2,4,1.7774619904313802
17,0,2,5,-0.08077453386197475
18,0,3,0,0.9736994887373395
19,0,3,1,1.081422308462455
20,0,3,2,0.94907381090245
21,0,3,3,4.384769108465625
22,0,3,4,3.0804699701228655
23,0,3,5,-0.10514843410752861
24,0,4,0,0.9863997593310259
25,0,4,1,1.8085150973724549
26,0,4,2,1.8488306696238666
27,0,4,3,2.558695967132825
28,0,4,4,0.9980346157577549
29,0,4,5,-0.08555556725529068
30,1,0,0,0.8282099279428528
31,1,0,1,3.4452877215905744
32,1,0,2,0.8727774070469505
33,1,0,3,1.752748412291058
34,1,0,4,1.77248364535385
35,1,0,5,0.9359319382189899
36,1,1,0,1.7653456808908425
37,1,1,1,1.9167654404321228
38,1,1,2,0.9216374142167398
39,1,1,3,1.763132290021263
40,1,1,4,1.702646837350693
41,1,1,5,-0.0441670941425365
42,1,2,0,2.381554484060362
43,1,2,1,1.8610859639755297
44,1,2,2,-0.13496184978149728
45,1,2,3,-1.018865014730374
46,1,2,4,4.002205511565901
47,1,2,5,-0.10329944828443383
48,1,3,0,0.9495622551996907
49,1,3,1,-0.4291402089396275
50,1,3,2,1.9009062914422459
51,1,3,3,1.771467516573093
52,1,3,4,2.922704353308053
53,1,3,5,1.9380212222672522
54,1,4,0,2.0094674075717975
55,1,4,1,3.8938871989099555
56,1,4,2,1.8832056462059752
57,1,4,3,2.850066925200883
58,1,4,4,2.92040566408265
59,1,4,5,1.9273249023160781
